,Loss,Acc
0,0.6868651462764275,0.6024464831804281
1,0.6576837778091431,0.617737003058104
2,0.6468680239305263,0.6804281345565749
3,0.6161643305929696,0.7125382262996942
4,0.5804197762070633,0.6697247706422018
5,0.5680637452660537,0.6070336391437309
6,0.5363104363767112,0.7584097859327217
7,0.5170215823301455,0.7599388379204893
8,0.49649720279181875,0.7951070336391437
9,0.4682240763088552,0.591743119266055
10,0.47830319440946345,0.8241590214067278
11,0.45890186363604013,0.7431192660550459
12,0.46692314162486936,0.7920489296636085
13,0.443307408254321,0.7828746177370031
14,0.43810131237274264,0.7431192660550459
15,0.4341517501487965,0.8516819571865444
16,0.4111852994779261,0.7889908256880734
17,0.4131763740283687,0.4877675840978593
18,0.4008068719288198,0.6788990825688074
19,0.4084129456339813,0.8654434250764526
