,Loss,Acc
0,0.667503252698154,0.7033639143730887
1,0.6090749073319319,0.6697247706422018
2,0.5739772971083478,0.6376146788990825
3,0.5305239332885276,0.6620795107033639
4,0.49869220351300586,0.7507645259938838
5,0.48405403473028324,0.7844036697247706
6,0.46590557505444785,0.7752293577981652
7,0.4578583298659906,0.6681957186544343
8,0.42151432720626275,0.7935779816513762
9,0.4243616315649777,0.7737003058103975
10,0.4314335169588647,0.7415902140672783
11,0.40367315513331714,0.7996941896024465
12,0.3984921297285615,0.8256880733944955
13,0.3694159480493243,0.8348623853211009
14,0.365824470650859,0.8103975535168195
15,0.37749123649626243,0.8134556574923547
16,0.36725240996698055,0.8486238532110092
17,0.35451069394262824,0.8577981651376146
18,0.36171892870490147,0.8012232415902141
19,0.3452463652302579,0.8807339449541285
20,0.33798721570794177,0.8348623853211009
21,0.3375940229471137,0.8562691131498471
22,0.3273552570764611,0.8027522935779816
23,0.31572504276182595,0.8547400611620795
24,0.3141108696417111,0.790519877675841
25,0.3174401073194132,0.8516819571865444
26,0.32379859182529336,0.8746177370030581
27,0.29878680571550276,0.8746177370030581
28,0.2863704230000333,0.8746177370030581
29,0.2920117933939143,0.8853211009174312
